Factor #,Nombre,Aplicación en EcoRed,Historias,Épica / Funcionalidad,Sprint donde aparece,Cubierto en Sprint 1
1,"Un código base, una aplicación",Un repositorio; cada microservicio es una aplicación.,US-23,E5,Sprint 4,Parcial / posterior
2,API primero,Toda interacción de negocio por REST.,"US-02 a US-06, US-10 a US-20, US-24",F11,Sprint 1+,Sí
3,Gestión de dependencias,Dependencias declaradas e imagen Docker.,"US-07, US-25",F10,"Sprint 1, 4",Sí
4,"Diseño, compilación, publicación y ejecución",La compilación de la imagen se separa de la ejecución con variables de entorno.,"US-07, US-25",F10,"Sprint 1, 4",Sí
5,"Configuración, credenciales y código",Secretos y configuración solo por entorno.,"US-01, US-03, US-07",F9,Sprint 1,Sí
6,Registros,Los registros salen como flujo hacia la salida estándar.,"US-21, US-28",F12,"Sprint 4, 5",Parcial / posterior
7,Desechabilidad,Contenedores que arrancan y mueren rápido.,"US-07, US-23, US-26",F10,"Sprint 1, 4",Sí
8,Servicios de respaldo,MongoDB Atlas y Firebase conectables por URL.,"US-03 a US-06, US-09, US-18, US-20",E2 E3,Sprint 1+,Sí
9,Paridad de entornos,Misma receta local y nube.,"US-07, US-25",E5,"Sprint 1, 4",Sí
10,Procesos administrativos,Carga inicial independiente fuera de la petición HTTP.,US-30,E6,Sprint 5,Parcial / posterior
11,Enlace de puertos,Servicios expuestos por puerto.,"US-07, US-24, US-26",F10 F11,"Sprint 1, 4",Sí
12,Procesos sin estado,"Estado en Atlas/Firebase, no en memoria.","US-02, US-20, US-23",F2,"Sprint 1, 3, 4",Sí
13,Concurrencia,Escalar catálogo y emparejamiento de forma independiente.,"US-17, US-23, US-27",E4 E5,"Sprint 3, 4, 5",Parcial / posterior
14,Telemetría,"Salud, métricas, trazas e impacto.","US-07, US-21, US-22, US-26, US-29",F12,"Sprint 1, 4, 5",Sí
15,Autenticación y autorización,Identidad y tenencia desde el Sprint 1.,"US-01, US-02, US-08, US-09, US-15, US-16, US-24",E1,Sprint 1+,Sí
